mil VMAP_0 28      {Road MED=1}                         ROADS         -1
mil VMAP_0 21      Swamp                                WETLANDS      21
mil VMAP_0  1      Grass                                SHRUB          1
mil VMAP_0  2      Scrub                                SHRUB          2
mil VMAP_0  3      Crop                                 AGRICULTURE    3
mil VMAP_0  4      Orchard                              FOREST         4
mil VMAP_0  5      Trees                                FOREST         5
mil VMAP_1  7      {Political Boundary}                 BARREN         7
mil VMAP_1 22      {Aqueduct, Canal, Water Course}      DRAINAGE      -2
mil VMAP_1 20      {Lake, Reservoir, Water Course Area} WATER         20
mil VMAP_1 23      Trail                                TRAILS        -1
mil VMAP_1 24      {Road RST=3}                         TRAILS        -1
mil VMAP_1 25      {Road RST=2}                         TRAILS        -1
mil VMAP_1 26      {Road MED=0}                         OTHER_ROADS   -1
mil VMAP_1 27      {Road MED=2}                         OTHER_ROADS   -1
mil VMAP_1 28      {Road MED=1}                         ROADS         -1
mil VMAP_1 21      Swamp                                WETLANDS      21
mil VMAP_1  1      Grass                                SHRUB          1
mil VMAP_1  3      Crop                                 AGRICULTURE    3
mil VMAP_1  4      Orchard                              FOREST         4
mil VMAP_1  5      Trees                                FOREST         5
pdc mauiShape  0   Ocean                                WATER          0
pdc mauiShape  1   {Shrub & Brush Rangeland}            SHRUB          1
pdc mauiShape  2   Lakes                                WATER          2
pdc mauiShape  3   {Forested Wetland}                   WETLANDS       3
pdc mauiShape  4   {Herbaceous Rangeland}               GRASSLAND      4
pdc mauiShape  5   {Mixed Rangelands}                   SHRUB          5
pdc mauiShape  6   {Transitional Areas}                 BARREN         6
pdc mauiShape  7   {Sandy Areas other than Beaches}     BARREN         7
pdc mauiShape  8   {Bare Exposed Rock}                  BARREN         8
pdc mauiShape 9    {Trans., Comm., & Utilities}         URBAN          9
pdc mauiShape 10   {Coniferous Forest Land}             FOREST        10
pdc mauiShape 11   {Industrial & Commercial Complex}    URBAN         11
pdc mauiShape 12   {Other Urban}                        URBAN         12
pdc mauiShape 13   {Bays & Estuaries}                   WATER         13
pdc mauiShape 14   {Strip Mines, Quarries, Gravel Pits} BARREN        14
pdc mauiShape 15   Residential                          URBAN         15
pdc mauiShape 16   {Commercial & Services}              URBAN         16
pdc mauiShape 17   Industrial                           URBAN         17
pdc mauiShape 18   {Mixed Urban}                        URBAN         18
pdc mauiShape 19   {Cropland & Pasture}                 AGRICULTURE   19
pdc mauiShape 20   {Non-Forested Wetland}               WETLANDS      20
pdc mauiShape 21   Orchards                             FOREST        21
pdc mauiShape 22   {Other Agricultural Land}            AGRICULTURE   22
pdc mauiShape 23   Reservoirs                           WATER         23
pdc mauiShape 24   Orchards                             FOREST        24
pdc mauiShape 301   {Left Bank (of stream/river)}       DRAINAGE      -2
pdc mauiShape 302   Manmade                             DRAINAGE      -2
pdc mauiShape 305   Stream                              DRAINAGE      -2
pdc mauiShape 307   Aqueduct                            DRAINAGE      -2
pdc mauiShape 309   Ditch                               DRAINAGE      -2
pdc mauiShape 481  {Major Roads}                        ROADS         -1
pdc mauiShape 482  {Other Roads}                        OTHER_ROADS   -1
pdc mauiShape 480  {4WD Roads}                          TRAILS        -1
pdc mauiShape   500001   {Upper origin of stream}             DRAINAGE     101
pdc mauiShape   500002   {Upper origin of stream at body}     DRAINAGE     102
pdc mauiShape   500004   {Stream entering water body}         DRAINAGE     103
pdc mauiShape   500005   {Stream exiting water body}          DRAINAGE     104
pdc mauiShape   500101   Reservoir                            WATER        105
pdc mauiShape   500102   {Covered reservoir}                  WATER        106
pdc mauiShape   500106   {Fish hatchery or farm}              URBAN        107
pdc mauiShape   500109   {Sewage disposal pond}               WATER        108
pdc mauiShape   500111   {Marsh, wetland, swamp, or bog}      WETLANDS     109
pdc mauiShape   500112   {Mangrove area}                      WETLANDS     110
pdc mauiShape   500115   {Flats (tidal, mud, sand, gravel)}   BARREN       111
pdc mauiShape   500116   {Bays, estuaries, gulfs, oceans}     WATER        112
pdc mauiShape   500117   Shoal                                BARREN       113
pdc mauiShape   500121   {Obstruction in water area}          WATER        114
pdc mauiShape   500200   Shoreline                            WATER        115
pdc mauiShape   500201   {Manmade Shorline}                   WATER        116
pdc mauiShape   500203   {Indefinite shoreline}               WATER        117
pdc mauiShape   500301   {Non-flowing well}                   DRAINAGE     118
pdc mauiShape   500404   {Pumping station}                    URBAN        119
pdc mauiShape   500406   {Dam or weir}                        URBAN        120
pdc mauiShape   500410   Rock                                 BARREN       121
pdc mauiShape   500412   Stream                               DRAINAGE     122
pdc mauiShape   500414   {Ditch or Canal}                     DRAINAGE     123
pdc mauiShape   500415   Aqueduct                             DRAINAGE     124
pdc mauiShape   500416   Flume                                DRAINAGE     125
pdc mauiShape   500417   Penstock                             URBAN        126
pdc mauiShape   500418   Siphon                               URBAN        127
pdc mauiShape   500419   {Channel in water area}              WATER        128
pdc mauiShape   500421   {Lake or pond}                       WATER        129
pdc mauiShape  1700001   {Bridge Abutment}			ROADS         37
pdc mauiShape  1700002   {Tunnel Portal}			ROADS	      38
pdc mauiShape  1700005   Cul-de-sac				ROADS	      39
pdc mauiShape  1700006   {Dead end}				URBAN	      40
pdc mauiShape  1700007   Drawbridge				ROADS	      41
pdc mauiShape  1700201   {Class 1, undivided}			ROADS	      42
pdc mauiShape  1700202   {Class 1, divided by centerline}	ROADS	      43
pdc mauiShape  1700203   {Class 1, divided, separated}	        ROADS	      44
pdc mauiShape  1700205   {Class 2, undivided}			ROADS  	      45
pdc mauiShape  1700206   {Class 2, divided by centerline}	ROADS  	      46
pdc mauiShape  1700207   {Class 2, divided, separated}	        ROADS  	      47
